name,safe_name,lat,lon
Medical Plaza,medical_plaza,40.3935654,49.8412265
MediClub,mediclub,40.3734312,49.8346292
20 saylı Xəstəxana \ Qaraçuxur,20_saylı_xəstəxana_qaraçuxur,40.3980052,49.9748162
Lider Klinikası,lider_klinikası,40.3929745,49.7919258
Təbriz Mehr Medical Center,təbriz_mehr_medical_center,40.3977545,49.8393385
AMT-klinika,amt-klinika,40.3835058,49.8352417
4 saylı Vərəm Dispanseri,4_saylı_vərəm_dispanseri,40.4208961,49.9457333
1 saylı Uşaq İnfeksion Xəstəxanası,1_saylı_uşaq_i_nfeksion_xəstəxanası,40.4196285,49.9404179
Milli Onkologiya Mərkəzi,milli_onkologiya_mərkəzi,40.3999289,49.8052251
Respublika Kliniki Xəstəxanası 20 Yanvar,respublika_kliniki_xəstəxanası_20_yanvar,40.403063,49.8043931
Topçubaşov adına Klinika,topçubaşov_adına_klinika,40.3957068,49.8045001
Bakı Sağlamlıq Mərkəzi \ Azadlıq,bakı_sağlamlıq_mərkəzi_azadlıq,40.3987774,49.8393281
Travmatologiya və Ortopediya İnstitutu,travmatologiya_və_ortopediya_i_nstitutu,40.3968946,49.8399605
Travmatologiya İnstitutu,travmatologiya_i_nstitutu,40.3974436,49.840895
7 saylı Doğum Evi,7_saylı_doğum_evi,40.4142635,49.9304734
ATU-nun terapiya korpusu,atu-nun_terapiya_korpusu,40.3967713,49.8317926
İran İslam Respublikası Qızıl Aypara Cəmiyyətinin Klinikası,i_ran_i_slam_respublikası_qızıl_aypara_cəmiyyətinin_klinikası,40.3850474,49.8038479
EGE Hospital \ Bakı,ege_hospital_bakı,40.3990776,49.8354246
Mərkəzi Diaqnostika Mərkəzi,mərkəzi_diaqnostika_mərkəzi,40.3998302,49.8105357
Qadın məsləhətxanası,qadın_məsləhətxanası,40.4249872,49.9532091
"Azərsutikinti xəstəxanası,",azərsutikinti_xəstəxanası,40.3988282,49.967149
Avrasiya hospital,avrasiya_hospital,40.3980586,49.8283315
DOKTOR DAVUD Klinikasi,doktor_davud_klinikasi,40.3820678,49.8045769
Uniklinika,uniklinika,40.3767419,49.818409
"Vital Klinika, Yeni Yasmal",vital_klinika_yeni_yasmal,40.3886896,49.7928915
Psixiatrik Dispanser \ Montin,psixiatrik_dispanser_montin,40.3911359,49.8788326
WorldMed \ Elmlər,worldmed_elmlər,40.3802432,49.8170466
Optimed Klinikası,optimed_klinikası,40.3994985,49.8733968
Ağciyәr Xәstәliklәri İnstitutu \ Qarayev,ağciyәr_xәstәliklәri_i_nstitutu_qarayev,40.4207437,49.9432263
Zəfəran Hospital / Montin,zəfəran_hospital_montin,40.3942967,49.8806938
Medi Style,medi_style,40.4056058,49.8621105
5 saylı Doğum Evi \ Bayıl,5_saylı_doğum_evi_bayıl,40.3438245,49.8393054
2 Saylı Doğum evi \ Bakıxanov,2_saylı_doğum_evi_bakıxanov,40.4245836,49.953322
Semaşko adına 1 saylı Şəhər Kliniki Xəstəxanası,semaşko_adına_1_saylı_şəhər_kliniki_xəstəxanası,40.3945339,49.8315255
Narkoloju Dispanser / Zığ,narkoloju_dispanser_zığ,40.3469798,49.9591556
20 saylı şəhər xəstəxanası,20_saylı_şəhər_xəstəxanası,40.3631414,49.9419597
Respublika Neyrocərrahiyyə Xəstəxanası,respublika_neyrocərrahiyyə_xəstəxanası,40.3724594,49.941217
Star Lab Tibb Mәrkәzi,star_lab_tibb_mәrkәzi,40.4127474,49.8098688
Uzmanlar Tibb Mərkəzi \ Yasamal,uzmanlar_tibb_mərkəzi_yasamal,40.3933111,49.8070785
Baku Medical Plaza Medilux filial,baku_medical_plaza_medilux_filial,40.4090736,49.846493
Medolimp Tibb Mərkəzi,medolimp_tibb_mərkəzi,40.3773694,49.8209099
Med Servis Tibb Mərkəzi \ Bakı,med_servis_tibb_mərkəzi_bakı,40.3789959,49.8332489
Eurolab Tibb Merkezi,eurolab_tibb_merkezi,40.3878474,49.8393102
Faqma Tibb Merkezi,faqma_tibb_merkezi,40.4030891,49.8649457
AzəriMed Tibb Mərkəzi / Montin,azərimed_tibb_mərkəzi_montin,40.3941223,49.8803146
Respublika Uşaq Kliniki Xestexanası,respublika_uşaq_kliniki_xestexanası,40.401955,49.8058811
Uroloji Xəstəxana Cavadzadə,uroloji_xəstəxana_cavadzadə,40.3694705,49.8328687
Medi Group Tibb Mərkəzi,medi_group_tibb_mərkəzi,40.3779917,49.8212876
Kekemelodi Bakı Tibb Mərkəzi,kekemelodi_bakı_tibb_mərkəzi,40.3803263,49.8369386
APİ Sağlamlıq Mərkəzi,api_sağlamlıq_mərkəzi,40.404236,49.8687522
Nərgiz Med Tibb Merkezi \ Bakı,nərgiz_med_tibb_merkezi_bakı,40.3999589,49.8331102
Reo-Med MMC Tibb Merkezi,reo-med_mmc_tibb_merkezi,40.414546,49.8476775
Prestij tibb mərkəzi,prestij_tibb_mərkəzi,40.4247571,49.8441964
EuroMed Tibb Mərkəzi,euromed_tibb_mərkəzi,40.4121491,49.8141992
2 saylı Şəhər Kliniki Xəstəxana \ Bakı,2_saylı_şəhər_kliniki_xəstəxana_bakı,40.3820371,49.8631044
3 saylı Uşaq Kliniki Xəstəxanası,3_saylı_uşaq_kliniki_xəstəxanası,40.3753729,49.8587838
Təcili Tibbi Yardım Servis Xidmətləri,təcili_tibbi_yardım_servis_xidmətləri,40.3750546,49.8443207
3 saylı Təcili Tibbi Yardım Stansiyası \ Bayıl,3_saylı_təcili_tibbi_yardım_stansiyası_bayıl,40.3429265,49.8409832
1 saylı Təcili Yardım Bölməsi,1_saylı_təcili_yardım_bölməsi,40.4010319,49.8801938
MediStyle Hospital,medistyle_hospital,40.4069489,49.8632586
HB Güvən Klinikası,hb_güvən_klinikası,40.4168567,49.844475
Biomed Spektr Tibb Mәrkәzi,biomed_spektr_tibb_mәrkәzi,40.3875416,49.8287135
Mayomed Medical \ Bakı,mayomed_medical_bakı,40.4130324,49.8603976
2 Saylı Təcili Yardım Stansiyası,2_saylı_təcili_yardım_stansiyası,40.3806301,49.865927
Healt Baku Medical Center,healt_baku_medical_center,40.3982,49.8607923
7 saylı Uşaq Xəstəxanası,7_saylı_uşaq_xəstəxanası,40.3921874,49.8600755
Gur MTK.,gur_mtk,40.372552,49.8208016
5 saylı Uşaq İnfeksion Xəstəxanası \ Bakıxanov,5_saylı_uşaq_i_nfeksion_xəstəxanası_bakıxanov,40.4261923,49.9622451
Macrobiosis Klinikası,macrobiosis_klinikası,40.3834248,49.8159149
Protez Ortopedik Bәrpa Mərkəzi \ Günəşli,protez_ortopedik_bәrpa_mərkəzi_günəşli,40.3931526,49.9634178
DaVinçi Hospital Klinikası,davinçi_hospital_klinikası,40.3973148,49.7913023
Medera Hospital,medera_hospital,40.416483,49.8413505
Məlhəm Beynəlxalq Hospital,məlhəm_beynəlxalq_hospital,40.4076816,49.9548734
Modul Tipli Xəstəxana COVID Zığ şossesi,modul_tipli_xəstəxana_covid_zığ_şossesi,40.3616533,49.9377778
Hərbi Hospital Qəbul Şöbəsi,hərbi_hospital_qəbul_şöbəsi,40.4005391,49.8226225
Taun Əleyhinə Stansiya,taun_əleyhinə_stansiya,40.3988012,49.8050764
Onkologiya Əməliyyat Şöbəsi,onkologiya_əməliyyat_şöbəsi,40.4012131,49.8038997
Diaqnostika Onkologiya,diaqnostika_onkologiya,40.4002542,49.8048112
Respublika Endokrinoloji Dispanseri,respublika_endokrinoloji_dispanseri,40.4029724,49.8054842
Bakı Ürək Mərkəzi,bakı_ürək_mərkəzi,40.3994049,49.8109511
Mərkəzi Dənizçilər Xəstəxanası KASPAR,mərkəzi_dənizçilər_xəstəxanası_kaspar,40.3776562,49.8212734
3 saylı Vərəm Dispanseri \ Bayıl,3_saylı_vərəm_dispanseri_bayıl,40.3472064,49.8366867
Liv Bona Dea Hospital \ Qara Qarayev,liv_bona_dea_hospital_qara_qarayev,40.4123136,49.9307692
2 saylı Dəri Zöhrəvi Dispanser,2_saylı_dəri_zöhrəvi_dispanser,40.4153463,49.9241495
14 saylı Tibbi Sanitariya Hissəsi,14_saylı_tibbi_sanitariya_hissəsi,40.4108411,49.9329123
6 saylı Təcili Yardım \ Neftçilər,6_saylı_təcili_yardım_neftçilər,40.4097189,49.936434
Stimul Hospital \ Bakıxanov,stimul_hospital_bakıxanov,40.4336699,49.9564903
5 saylı Uşaq Xəstəxanası,5_saylı_uşaq_xəstəxanası,40.4211293,49.9673331
15 saylı Xəstəxan \ Qaraçuxur,15_saylı_xəstəxan_qaraçuxur,40.3915981,49.9727994
Elmi Tədqiqat Tibbi Bərpa İnstitutu,elmi_tədqiqat_tibbi_bərpa_i_nstitutu,40.3841367,49.8522795
Uşaq Reabilitasiya Mərkəzi \ Bakı,uşaq_reabilitasiya_mərkəzi_bakı,40.3997977,49.874585
24 saylı Xəstəxana \ Günəşli,24_saylı_xəstəxana_günəşli,40.3726357,49.9754816
Biovista,biovista,40.3492211,49.8109241
City Hospital,city_hospital,40.4019076,49.8337321
